Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774893161,6500,GET,/health,327.000000,0.000000,1100,1600,2300,2900,3600,4200,5000,5300,5400,5500,5500,3605,0,620.0,1141.3101933248165,98.84624299957068,5488.976171000104,34.0
1774893161,6500,GET,/models,319.100000,0.000000,290,370,420,490,610,720,790,900,910,910,910,3528,0,190.0,247.8251511300742,12.126493998948717,911.435767000512,399.0
1774893161,6500,POST,/predict,987.600000,0.000000,360,490,570,600,700,750,810,840,910,970,980,12764,0,320.0,356.05579418974924,2.440809999825433,984.230269001273,45.001018489501725
1774893161,6500,,Aggregated,1633.700000,0.000000,400,530,600,660,810,1500,3200,3800,5300,5400,5500,19897,0,320.0,479.139897329287,2.440809999825433,5488.976171000104,105.77649896969392
1774893162,7000,GET,/health,327.000000,0.000000,1100,1600,2300,2900,3600,4200,5000,5300,5400,5500,5500,3605,0,620.0,1141.3101933248165,98.84624299957068,5488.976171000104,34.0
1774893162,7000,GET,/models,319.100000,0.000000,290,370,420,490,610,720,790,900,910,910,910,3528,0,190.0,247.8251511300742,12.126493998948717,911.435767000512,399.0
1774893162,7000,POST,/predict,987.600000,0.000000,360,490,570,600,700,750,810,840,910,970,980,12764,0,320.0,356.05579418974924,2.440809999825433,984.230269001273,45.001018489501725
1774893162,7000,,Aggregated,1633.700000,0.000000,400,530,600,660,810,1500,3200,3800,5300,5400,5500,19897,0,320.0,479.139897329287,2.440809999825433,5488.976171000104,105.77649896969392
1774893163,7500,GET,/health,231.700000,0.000000,1800,3100,3600,3900,5300,6600,7300,7500,8100,8100,8100,4027,0,700.0,1574.4569746128518,98.84624299957068,8071.919436999451,34.0
1774893163,7500,GET,/models,226.800000,0.000000,370,500,590,660,870,920,1100,1200,1300,1300,1300,3874,0,200.0,301.0585607870159,12.126493998948717,1302.386953999303,399.0
1774893163,7500,POST,/predict,1244.800000,0.000000,520,630,760,810,970,1100,1200,1200,1300,1400,1400,16859,0,420.0,483.8435410670877,2.440809999825433,1377.0479270006035,44.98184945726318
1774893163,7500,,Aggregated,1703.300000,0.000000,530,700,810,900,1200,2600,4400,5500,7500,8100,8100,24760,0,420.0,632.623479810375,2.440809999825433,8071.919436999451,98.58614701130857
1774893164,8000,GET,/health,231.700000,0.000000,2700,3500,3900,4400,5500,6700,7400,7500,8100,8100,8100,4027,0,700.0,1574.4569746128518,98.84624299957068,8071.919436999451,34.0
1774893164,8000,GET,/models,226.800000,0.000000,410,580,620,720,890,970,1100,1200,1300,1300,1300,3874,0,200.0,301.0585607870159,12.126493998948717,1302.386953999303,399.0
1774893164,8000,POST,/predict,1244.800000,0.000000,540,690,800,830,1000,1100,1200,1200,1300,1400,1400,16859,0,420.0,483.8435410670877,2.440809999825433,1377.0479270006035,44.98184945726318
1774893164,8000,,Aggregated,1703.300000,0.000000,590,730,840,920,1200,3000,4500,5700,7600,8100,8100,24760,0,420.0,632.623479810375,2.440809999825433,8071.919436999451,98.58614701130857
